title,totalScore,reviewsCount,city,state,phone,url,categoryName
MUDAR Serviços,5,243,Osasco,São Paulo,+55 11 99472-2087,https://www.google.com/maps/search/?api=1&query=MUDAR%20Servi%C3%A7os&query_place_id=ChIJV5K9Bcf_zpQRhVgo9YdxmpE,Moveleiro
SP,5,90,Osasco,São Paulo,+55 11 95333-1618,https://www.google.com/maps/search/?api=1&query=SP&query_place_id=ChIJJVkv6PX9zpQRNzH_UhfbdZI,Marceneiro
Montador de Móveis Erick Acunha,5,88,Porto Alegre,Rio Grande do Sul,+55 51 98053-0829,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Erick%20Acunha&query_place_id=ChIJX4vxHWh3GZURkp3XyYi1hGE,Marceneiro
Montador de Móveis Porto Alegre,5,66,Porto Alegre,Rio Grande do Sul,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Porto%20Alegre&query_place_id=ChIJBZluqJl3GZURKit7YooFuFk,Moveleiro
ED Montagem de Móveis Ribeirão Preto,5,91,Ribeirão Preto,São Paulo,+55 16 98134-0794,https://www.google.com/maps/search/?api=1&query=ED%20Montagem%20de%20M%C3%B3veis%20Ribeir%C3%A3o%20Preto&query_place_id=ChIJbYHcTJCVuZQR8dS_vhuBUeI,Serviço de conserto
Israel Teixeira | Montador de Móveis | Montagem de móveis | Marceneiro,5,88,Rio de Janeiro,Rio de Janeiro,+55 21 99617-9533,https://www.google.com/maps/search/?api=1&query=Israel%20Teixeira%20%7C%20Montador%20de%20M%C3%B3veis%20%7C%20Montagem%20de%20m%C3%B3veis%20%7C%20Marceneiro&query_place_id=ChIJ_bTPayrhmwAR85PPqdJWsqc,Marceneiro
Mp montador de móveis,5,115,Rio de Janeiro,Rio de Janeiro,+55 21 99186-5577,https://www.google.com/maps/search/?api=1&query=Mp%20montador%20de%20m%C3%B3veis&query_place_id=ChIJkb4d6pfVmwARF3J-jtO0jCE,Marceneiro
S.O.S MONTADOR DE MÓVEIS RJ,5,331,Rio de Janeiro,Rio de Janeiro,+55 21 99721-1817,https://www.google.com/maps/search/?api=1&query=S.O.S%20MONTADOR%20DE%20M%C3%93VEIS%20RJ&query_place_id=ChIJKWtzElbOmQARMExO3aO0Dfc,Marceneiro
IRV Montador de Moveis Salvador Os_991851775,5,553,Salvador,Bahia,+55 71 99185-1775,https://www.google.com/maps/search/?api=1&query=IRV%20Montador%20de%20Moveis%20Salvador%20Os_991851775&query_place_id=ChIJ20HQL-MaFgcR7gVgl7wxCjA,Loja de móveis
Montador de buffet rack painel e armários em geral Salvador Bahia JM eficaz,5,134,Salvador,Bahia,+55 71 98428-2218,https://www.google.com/maps/search/?api=1&query=Montador%20de%20buffet%20rack%20painel%20e%20arm%C3%A1rios%20em%20geral%20Salvador%20Bahia%20JM%20eficaz&query_place_id=ChIJs3JiD4ERFgcR3bnwrxlBTMc,Marceneiro
Montador de Móveis Noronha - Atendimento Rápido,5,37,Salvador,Bahia,+55 71 98741-4911,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Noronha%20-%20Atendimento%20R%C3%A1pido&query_place_id=ChIJDZmvVZcRFgcRVhXT5wcG314,Marceneiro
Montador de moveis wmdias montagens,5,47,Salvador,Bahia,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20wmdias%20montagens&query_place_id=ChIJydr-UasFFgcRifgNQjkifT4,Loja de móveis
Santana montagens - Montador de móveis,5,86,Salvador,Bahia,+55 71 99637-4968,https://www.google.com/maps/search/?api=1&query=Santana%20montagens%20-%20Montador%20de%20m%C3%B3veis&query_place_id=ChIJnd6_TGDjZ4QRHgwV6S-AaKU,Marceneiro
SOFT MONTAGEM DE MÓVEIS,5,228,São Bernardo do Campo,SP,+55 11 98847-2966,https://www.google.com/maps/search/?api=1&query=SOFT%20MONTAGEM%20DE%20M%C3%93VEIS&query_place_id=ChIJtQ5FsEhBzpQRUF1BeOJO_CA,Ajuda com serviços domésticos
Montador de móveis Móveis do Rei,5,69,São José dos Campos,São Paulo,+55 12 98840-7658,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20M%C3%B3veis%20do%20Rei&query_place_id=ChIJX1rA4sk1zJQRYZRSV6pm8ZQ,Moveleiro
Montador de Móveis Centro SP Leandro,5,16,São Paulo,São Paulo,+55 11 96943-3476,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Centro%20SP%20Leandro&query_place_id=ChIJSSW0czZZzpQRFKdib7rcm4E,Marceneiro
Montador de Móveis REIMONTADOR ️,5,838,São Paulo,São Paulo,+55 11 95060-5688,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20REIMONTADOR%20%EF%B8%8F&query_place_id=ChIJDQFR9AxbzpQRk5wOoccy_dk,Marceneiro
Montador de moveis zona leste Ilton de sao paulo,5,58,São Paulo,São Paulo,+55 11 96810-7283,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20zona%20leste%20Ilton%20de%20sao%20paulo&query_place_id=ChIJASYVdvxhzpQRVhZAnPqOfkI,Marceneiro
Montador de móveis zona sul e regiões,5,395,São Paulo,São Paulo,+55 11 96643-2401,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20zona%20sul%20e%20regi%C3%B5es&query_place_id=ChIJ5zlQFPtTzpQRXzByFadpgr8,Marceneiro
DG montador de móveis,5,15,Sorocaba,São Paulo,+55 15 99608-8224,https://www.google.com/maps/search/?api=1&query=DG%20montador%20de%20m%C3%B3veis&query_place_id=ChIJ88PM2ev1xZQRqebP4ADNDvM,Marceneiro
Jm Montador De Móveis,5,77,Sorocaba,São Paulo,+55 15 99718-8238,https://www.google.com/maps/search/?api=1&query=Jm%20Montador%20De%20M%C3%B3veis&query_place_id=ChIJsUFZX0r1xZQRAZV8FUM0gDc,Prestador de serviços públicos
Equipe Cirurgião de móveis - marceneiro e montador de móveis em Teresina,5,226,Teresina,Piauí,+55 86 98865-4343,https://www.google.com/maps/search/?api=1&query=Equipe%20Cirurgi%C3%A3o%20de%20m%C3%B3veis%20-%20marceneiro%20e%20montador%20de%20m%C3%B3veis%20em%20Teresina&query_place_id=ChIJU2uy-60_jgcRW5uTywOt7w8,Marceneiro
Montador de móveis,5,18,,,+55 21 96429-7561,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJh-0Sqn16mQARRtR78AfDK3M,Moveleiro
Montador de móveis - SB Montagens,5,168,,,+55 12 98136-5955,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20-%20SB%20Montagens&query_place_id=ChIJY4wXnW3LzZQRLjQwkVdlla8,Moveleiro
MONTADOR DE MÓVEIS CURITIBA,5,33,,,+55 41 99773-6608,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20CURITIBA&query_place_id=ChIJWT9giCOn1YcRI-hn4zRrJZE,Marceneiro
Montador de Móveis Diego em Campinas,5,71,,,+55 19 99348-5002,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Diego%20em%20Campinas&query_place_id=ChIJhRgpfRa8yJQRlM0ELwmwsWI,Moveleiro
Montador de moveis em Goiânia,5,13,,,+55 62 98163-7118,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20em%20Goi%C3%A2nia&query_place_id=ChIJIxXuOkZfXpMRxCG67Vt8Xd8,Moveleiro
Montador de moveis Salvador wmdias,5,250,,,+55 71 99345-9653,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20Salvador%20wmdias&query_place_id=ChIJW5G9owEFFgcR2MEFP6Jpf-s,Moveleiro
Montador de Móveis São Paulo,5,89,,,+55 11 95091-1525,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20S%C3%A3o%20Paulo&query_place_id=ChIJEQHhcYdnzpQRFjeflbILGZ4,Service establishment
"Montador de móveis: São Gonçalo, Niterói, Itaboraí Luíderson Amarante",5,40,,,+55 21 97694-0995,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%3A%20S%C3%A3o%20Gon%C3%A7alo%2C%20Niter%C3%B3i%2C%20Itabora%C3%AD%20Lu%C3%ADderson%20Amarante&query_place_id=ChIJBYcQzHGbrIIRDbhVu1Af77A,Marceneiro
Rubens Cardoso - Montador de Móveis em Teresina,5,109,,,+55 86 98803-7566,https://www.google.com/maps/search/?api=1&query=Rubens%20Cardoso%20-%20Montador%20de%20M%C3%B3veis%20em%20Teresina&query_place_id=ChIJwczfPQwjj0gRGNicTw965HU,Marceneiro
MONTADOR DE MÓVEIS SÃO JOSÉ DOS CAMPOS,5,7,São José dos Campos,São Paulo,+55 12 98876-5835,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20S%C3%83O%20JOS%C3%89%20DOS%20CAMPOS&query_place_id=ChIJz8d3-kXYBigRjEA1XD8yhi4,
Montador de móveis,5,7,São Luís,Maranhão,+55 98 98276-3006,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJE12FF_OJ9gcReTU4dwfBu7U,Loja de marcenaria
Montador de moveis barato profissional,5,53,Aparecida de Goiânia,Goiás,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20barato%20profissional&query_place_id=ChIJ-65K5C_3XpMRmCaXUh9wA10,Loja de móveis para cozinha
montador de móveis,5,10,Belo Horizonte,Minas Gerais,+55 31 99852-3919,https://www.google.com/maps/search/?api=1&query=montador%20de%20m%C3%B3veis&query_place_id=ChIJdf_catGVpgARQZWL9XufEt4,Marceneiro
Montador de Móveis Planaltina - DF,5,14,Brasília,DF,+55 61 99170-0022,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Planaltina%20-%20DF&query_place_id=ChIJQbLuvZkTWpMRZfIFCh8kgCY,Moveleiro
RR Montagens - Montador de Móveis,5,72,Brasília,DF,+55 61 99175-7903,https://www.google.com/maps/search/?api=1&query=RR%20Montagens%20-%20Montador%20de%20M%C3%B3veis&query_place_id=ChIJPwuwItkaGyIR590dTPvePEk,Marceneiro
Ricco montador de móveis,5,20,Campinas,São Paulo,+55 19 99393-2871,https://www.google.com/maps/search/?api=1&query=Ricco%20montador%20de%20m%C3%B3veis&query_place_id=ChIJhUBnP1S3yJQRvcQIHkE8Wn4,Marceneiro
Marcio Montador de Móveis e Frete,5,25,Cuiabá,Mato Grosso,+55 65 99286-7395,https://www.google.com/maps/search/?api=1&query=Marcio%20Montador%20de%20M%C3%B3veis%20e%20Frete&query_place_id=ChIJE1gKTsKlnZMR29R3ktGiEZU,Móveis de vime
Montador de moveis e marido de aluguel,5,21,Cuiabá,Mato Grosso,+55 65 99248-5173,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20e%20marido%20de%20aluguel&query_place_id=ChIJhcr7fQuvnZMRQG5WXtsfn-s,Escritório da empresa
Montagem em geral de móveis e manutençao,5,6,Cuiabá,Mato Grosso,+55 65 99962-9287,https://www.google.com/maps/search/?api=1&query=Montagem%20em%20geral%20de%20m%C3%B3veis%20e%20manuten%C3%A7ao&query_place_id=ChIJ07TYnyOxnZMRAzaTqe7OShY,Loja de marcenaria
O Montador - Montador de Móveis,5,79,Curitiba,Paraná,+55 41 99661-9641,https://www.google.com/maps/search/?api=1&query=O%20Montador%20-%20Montador%20de%20M%C3%B3veis&query_place_id=ChIJiyXy3_773JQRc64bhehXQX0,Marceneiro
Montador De Moveis Em Fortaleza,5,18,Fortaleza,Ceará,+55 85 99192-9290,https://www.google.com/maps/search/?api=1&query=Montador%20De%20Moveis%20Em%20Fortaleza&query_place_id=ChIJx_8c96NNxwcRpN3u2cI3tPw,Moveleiro
Montador de Moveis Fortaleza,5,22,Fortaleza,Ceará,+55 85 98558-3043,https://www.google.com/maps/search/?api=1&query=Montador%20de%20Moveis%20Fortaleza&query_place_id=ChIJ4aY4ozFNxwcRF1tcs6ydmwM,Marceneiro
Montador De Móveis fortaleza ce,5,20,Fortaleza,Ceará,+55 85 98116-0112,https://www.google.com/maps/search/?api=1&query=Montador%20De%20M%C3%B3veis%20fortaleza%20ce&query_place_id=ChIJE0mGu4JUPKcRhMzaodOygOA,Ajuda com serviços domésticos
Montador de moveis em Guarulhos,5,17,Guarulhos,São Paulo,+55 11 95921-5823,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20em%20Guarulhos&query_place_id=ChIJG7en_wBhzpQRR0eEd2EsozA,Oficina de conserto de móveis
Montador de móveis Guarulhos,5,10,Guarulhos,São Paulo,+55 11 94281-9451,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20Guarulhos&query_place_id=ChIJUeqSQiZjzpQRFKGHOLkFweo,Moveleiro
MONTADOR DE MÓVEIS Larmontado,5,35,João Pessoa,Paraíba,+55 83 99946-7338,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20Larmontado&query_place_id=ChIJx91qaGrnrAcRXcWrR0gNJ_k,Loja de marcenaria
Montador de moveis Rei da montagem,5,121,Maceió,Alagoas,+55 82 98712-2643,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20Rei%20da%20montagem&query_place_id=ChIJ4_D3ySLm-04RHbYUr5BaBPg,Marceneiro
Móveis Planejados Maceió,5,61,Maceió,Alagoas,+55 82 98744-8174,https://www.google.com/maps/search/?api=1&query=M%C3%B3veis%20Planejados%20Macei%C3%B3&query_place_id=ChIJnbGz8K9FAQcR9TfF8uoTIGI,Loja de marcenaria
Daniel Correia | Montador de Móveis Profissional,5,286,Porto Alegre,Rio Grande do Sul,+55 51 99490-3661,https://www.google.com/maps/search/?api=1&query=Daniel%20Correia%20%7C%20Montador%20de%20M%C3%B3veis%20Profissional&query_place_id=ChIJv25ja5l3GZURjLMsRaXQz6o,Marceneiro
Montador de Móveis Sul,5,91,Porto Alegre,Rio Grande do Sul,+55 51 98269-8864,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Sul&query_place_id=ChIJ73doD212GZUR81tTeea5UI0,Oficina de conserto de móveis
Montador de móveis - PLANEJART - Montagens e desmontagens de móveis - Montador em Recife,5,16,Recife,Pernambuco,+55 81 99648-6461,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20-%20PLANEJART%20-%20Montagens%20e%20desmontagens%20de%20m%C3%B3veis%20-%20Montador%20em%20Recife&query_place_id=ChIJDRv2ViYZqwcRw8aMdeI16Pw,Prestador de serviços públicos
Montador de Móveis em Recife,5,5,Recife,Pernambuco,+55 81 98738-5663,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Recife&query_place_id=ChIJIVbGry0aqwcR7TdFq9jK5fk,Oficina de conserto de móveis
Wr Montagem de móveis,5,8,Ribeirão Preto,São Paulo,+55 16 99184-8414,https://www.google.com/maps/search/?api=1&query=Wr%20Montagem%20de%20m%C3%B3veis&query_place_id=ChIJiUx5YN6_uZQRzP9LwPd3DbQ,Marceneiro
Casé Móveis | Montador de Móveis RJ,5,182,Rio de Janeiro,Rio de Janeiro,+55 21 98299-1864,https://www.google.com/maps/search/?api=1&query=Cas%C3%A9%20M%C3%B3veis%20%7C%20Montador%20de%20M%C3%B3veis%20RJ&query_place_id=ChIJr2GwGYi2FS8RntFkJnZqEo8,Marceneiro
Montador de Móveis,5,68,Salvador,Bahia,+55 71 98774-7706,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis&query_place_id=ChIJqTQCXjTTcEER8EpXAFMXBEk,Marceneiro
montador de móveis / armador de móveis salvador,5,72,Salvador,Bahia,+55 71 98260-7621,https://www.google.com/maps/search/?api=1&query=montador%20de%20m%C3%B3veis%20%2F%20armador%20de%20m%C3%B3veis%20salvador&query_place_id=ChIJDX9THYkbFgcRyU_dg54f3N0,Loja de móveis
B&R - Montador De Móveis,5,49,Santo André,São Paulo,,https://www.google.com/maps/search/?api=1&query=B%26R%20-%20Montador%20De%20M%C3%B3veis&query_place_id=ChIJ3SZahd8G3aMR1eKTw3dYvqI,Marceneiro
MONTADOR DE MÓVEIS EM SANTO ANDRÉ,5,32,Santo André,São Paulo,+55 11 94812-2153,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20EM%20SANTO%20ANDR%C3%89&query_place_id=ChIJ_YMEOhRCzpQRWYVP358T390,Marceneiro
Montador de móveis Elton Alves,5,39,São Bernardo do Campo,São Paulo,+55 11 98727-5766,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20Elton%20Alves&query_place_id=ChIJXzhm_2pBzpQRB3l1Ah-rR1U,Móveis de vime
Felipe Montador,5,18,São Gonçalo,Rio de Janeiro,+55 21 99316-1224,https://www.google.com/maps/search/?api=1&query=Felipe%20Montador&query_place_id=ChIJvSlox9mFmQARoDXi-P-M-Ao,Marceneiro
Cleber montador de móveis,5,22,Sorocaba,São Paulo,+55 15 98812-8074,https://www.google.com/maps/search/?api=1&query=Cleber%20montador%20de%20m%C3%B3veis&query_place_id=ChIJyQrsSF31xZQRoaQOd8-2NRM,Marceneiro
D.J montador de móveis,5,17,Sorocaba,São Paulo,+55 15 98100-0067,https://www.google.com/maps/search/?api=1&query=D.J%20montador%20de%20m%C3%B3veis&query_place_id=ChIJnTdATsQcgywRbi4dBY0qf24,Montadora de estruturas metálicas
Montador De Moveis,5,43,Sorocaba,São Paulo,+55 15 99638-2845,https://www.google.com/maps/search/?api=1&query=Montador%20De%20Moveis&query_place_id=ChIJZ6z3ZkL1xZQRcLB7zeDW1I0,Escritório da empresa
Montador de móveis em sorocaba,5,6,Sorocaba,São Paulo,+55 15 99810-4147,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20em%20sorocaba&query_place_id=ChIJnTuJOD71xZQRLJTPTxsMEDk,Marceneiro
MDM Montagens de Móveis - Montador De Móveis,5,57,Uberlândia,Minas Gerais,+55 34 99673-9596,https://www.google.com/maps/search/?api=1&query=MDM%20Montagens%20de%20M%C3%B3veis%20-%20Montador%20De%20M%C3%B3veis&query_place_id=ChIJPdhX-vFFpJQRtiQ7ZoPjsRM,Faz-tudo
"Freitas montador de móveis| Zona Leste, Zona Norte, Zona sul, Grande ABC Paulista.",5,47,,,+55 11 94909-0024,https://www.google.com/maps/search/?api=1&query=Freitas%20montador%20de%20m%C3%B3veis%7C%20Zona%20Leste%2C%20Zona%20Norte%2C%20Zona%20sul%2C%20Grande%20ABC%20Paulista.&query_place_id=ChIJiRzkpeyIeKQRBqekTBd1k9k,Moveleiro
Julio LIma montador de moveis,5,47,,,+55 82 98861-2142,https://www.google.com/maps/search/?api=1&query=Julio%20LIma%20montador%20de%20moveis&query_place_id=ChIJ1zhGODtJAQcRRg8u-TUtX9c,Moveleiro
Montador de móveis Amaury_Ribeirão Preto,5,11,,,+55 16 99266-2934,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20Amaury_Ribeir%C3%A3o%20Preto&query_place_id=ChIJh416TNm_uZQRkIU1bMtD7To,Móveis de vime
Montador de Móveis em BH CÁSSIO,5,193,,,+55 31 98767-6144,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20BH%20C%C3%81SSIO&query_place_id=ChIJN0GZxtCbpgARiObC76vDOxc,Marceneiro
Montador Móveis em Manaus - à Domicílio,5,4,,,+55 92 99259-2249,https://www.google.com/maps/search/?api=1&query=Montador%20M%C3%B3veis%20em%20Manaus%20-%20%C3%A0%20Domic%C3%ADlio&query_place_id=ChIJRT5PTNoZbJIRvE3Jg4at9kk,Service establishment
Montador de Moveis Cuiabá e varzea grande,5,18,Cuiabá,Mato Grosso,+55 65 99283-4810,https://www.google.com/maps/search/?api=1&query=Montador%20de%20Moveis%20Cuiab%C3%A1%20e%20varzea%20grande&query_place_id=ChIJdeWmjDaxnZMRo5zJ_PMzFjw,Marceneiro
Montador de Móveis Duarte,5,58,Brasília,Distrito Federal,+55 61 99980-6766,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Duarte&query_place_id=ChIJXWmBw587WpMRChdG92lL9VQ,Carpintaria
Montador de Moveis em Brasilia,5,15,Brasília,Distrito Federal,+55 61 99507-0358,https://www.google.com/maps/search/?api=1&query=Montador%20de%20Moveis%20em%20Brasilia&query_place_id=ChIJOzRtOWszWpMR3bptYImjrfs,Moveleiro
Montador de Móveis (Juan),5,72,Guarulhos,São Paulo,+55 11 93205-0150,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20(Juan)&query_place_id=ChIJSytjB8X1zpQR1bKPRUNLGTA,Moveleiro
