name,city,county,state,rating,reviews,reviews_link,,street_view,logo,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_company_page,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.total_money_raised
Montador de Móveis Erick Acunha,Porto Alegre,Jardim Carvalho,State of Rio Grande do Sul,"4,9",73,https://search.google.com/local/reviews?placeid=ChIJX4vxHWh3GZURkp3XyYi1hGE&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipOJOzW8O8wwD-7sY5KYK66Q1s4keNsQZW69XoRG=w1600-h1000-k-no,https://lh3.googleusercontent.com/-pDMnEQgzWPw/AAAAAAAAAAI/AAAAAAAAAAA/MLSVgwZazuE/s44-p-k-no-ns-nd/photo.jpg,2016,COMPUTER_SOFTWARE,FALSE,https://www.linkedin.com/company/linktree,,,,,Victoria,55700000
Montador de Móveis Porto Alegre,Porto Alegre,Glória,State of Rio Grande do Sul,"4,7",50,https://search.google.com/local/reviews?placeid=ChIJe6R0cpmCGZURU7CfOu6Dsp4&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepEx6d2CU0pP_5IqmPiuIzmruWEW_xGAxt8v8x2HllvZgZXsMAg50OHIeI1r1ufQMblFaqH30LKSft-1GPDgBBP7tcV1GUx4JsNvNT2ZSfSoqj4Kf3HmrdavxK0eR0Zsw3_NrQFMw=w1600-h1000-k-no,https://lh5.googleusercontent.com/-js_F8p0sDhM/AAAAAAAAAAI/AAAAAAAAAAA/rm_4x_IKqT8/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis Porto Alegre,Porto Alegre,Coronel Aparício Borges,State of Rio Grande do Sul,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqT6h56fRAi6CFc1TXpJC88Nt3U-_y1ZBE0cTPkWPossSdJxoZUpkwjLiD8wJpcCAmrZ87UKEgKPFOpRI2g1m2oEkBSAXUMnm74BcDpE9zJakmdsrgh0VJthPbyo9Yi1ieFW6Dj=w1600-h1000-k-no,https://lh6.googleusercontent.com/-FS1djX1mvCk/AAAAAAAAAAI/AAAAAAAAAAA/L4nwU2-Xrj4/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis Porto Alegre,Porto Alegre,Coronel Aparício Borges,State of Rio Grande do Sul,,,,,https://lh3.googleusercontent.com/p/AF1QipM-QhLD6gnSbH9Dkl20Ge9VDqYW1XCHMgMzDepP=w1600-h1000-k-no,https://lh6.googleusercontent.com/-FS1djX1mvCk/AAAAAAAAAAI/AAAAAAAAAAA/L4nwU2-Xrj4/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis Porto Alegre,Porto Alegre,Glória,State of Rio Grande do Sul,"4,7",50,https://search.google.com/local/reviews?placeid=ChIJe6R0cpmCGZURU7CfOu6Dsp4&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepEx6d2CU0pP_5IqmPiuIzmruWEW_xGAxt8v8x2HllvZgZXsMAg50OHIeI1r1ufQMblFaqH30LKSft-1GPDgBBP7tcV1GUx4JsNvNT2ZSfSoqj4Kf3HmrdavxK0eR0Zsw3_NrQFMw=w1600-h1000-k-no,https://lh5.googleusercontent.com/-js_F8p0sDhM/AAAAAAAAAAI/AAAAAAAAAAA/rm_4x_IKqT8/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis Sul,Porto Alegre,Jardim Itu-Sabará,State of Rio Grande do Sul,"4,8",87,https://search.google.com/local/reviews?placeid=ChIJ73doD212GZUR81tTeea5UI0&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep1eRsShkpCuifG3X5mhoy5ZB90IVVyTFMJTGSZsuxgnTFhv8A8BWmXWSEelpmBRWK74LrJWT8p0yw0ntP39-8HrczRjrTLFlzUnfy5ihK1xUwuDCXI_naoFgzU1oAlpUOkLgA=w1600-h1000-k-no,https://lh3.googleusercontent.com/-nCpLc8Ph9W4/AAAAAAAAAAI/AAAAAAAAAAA/Wb6k3Ft6ES0/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador Montagen e desmontagem de Moveis,Porto Alegre,Rubem Berta,State of Rio Grande do Sul,"4,5",8,https://search.google.com/local/reviews?placeid=ChIJBeRE2MN2GZURFToZ82XZe7k&q=*&authuser=0&hl=en&gl=BR,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xSqsvZ-QSelOojzWok_LAg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=235.19112&pitch=0&thumbfov=100,https://lh6.googleusercontent.com/-KH9R2LhkjjI/AAAAAAAAAAI/AAAAAAAAAAA/2BMUE66B_L4/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
MONTAGEM DE MÓVEIS FERREIRA,Porto Alegre,São José,State of Rio Grande do Sul,5,4,https://search.google.com/local/reviews?placeid=ChIJIUh28wadGZUR7sAqw-aWN-A&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipPdm5RMoTt51rkefjIfDxNuzvQaq8ptyv6g_MVg=w1600-h1000-k-no,https://lh4.googleusercontent.com/-wvctqlxQtL4/AAAAAAAAAAI/AAAAAAAAAAA/PXlYmSA3J7M/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Tiago Oliveira montador de móveis,Porto Alegre,Santa Tereza,State of Rio Grande do Sul,5,18,https://search.google.com/local/reviews?placeid=ChIJdy2dUJp5GZURgk_2gQx-1zI&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipN93zpDWsPcnw3lNoUA_OZnrAZoo10piDU-YfzI=w1600-h1000-k-no,https://lh4.googleusercontent.com/-syHjppPRox4/AAAAAAAAAAI/AAAAAAAAAAA/W6Ec11UD00g/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
TL MOVEIS MONTAGEM E DESMONTAGEM,Porto Alegre,São José,State of Rio Grande do Sul,5,157,https://search.google.com/local/reviews?placeid=ChIJCXd8SRQ05Q4RwODKoSDpoj8&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipPWFAUldVPNutNEoqXPUjkQzhXDp0pPVwmgxkhg=w1600-h1000-k-no,https://lh5.googleusercontent.com/-ip3_M9YnY-I/AAAAAAAAAAI/AAAAAAAAAAA/Q4FzPAC8n7Q/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
D kaefer montador de móveis,São Leopoldo,Rio dos Sinos,State of Rio Grande do Sul,5,3,https://search.google.com/local/reviews?placeid=ChIJI6mAg-BpGZUR4V-GPagh7Z0&q=*&authuser=0&hl=en&gl=BR,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Cb2dOHT2MeJ1NZLK2_IgVQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=338.6287&pitch=0&thumbfov=100,,,,,,,,,,,
Montador de Móveis,São Leopoldo,Arroio da Manteiga,State of Rio Grande do Sul,"4,9",30,https://search.google.com/local/reviews?placeid=ChIJ59k9sp9dGZURDMkPIgFlMKA&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepWsCydBgUu789OAoGCaMhTDgVcIpdVH7tpbICtK_8rE4qnZvnGagMnCqVhgw9gNrlO5f85zQHpKcfPbmRdNnYg_jHUpwvlAXVyCJcl3CBcsAoCev3LPweuhH2BC4Qt3poEj1LqFqAzC-Y=w1600-h1000-k-no,https://lh4.googleusercontent.com/-KvRFF527cYw/AAAAAAAAAAI/AAAAAAAAAAA/1X5iYvyChsw/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis,São Leopoldo,Arroio da Manteiga,State of Rio Grande do Sul,"4,9",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f6Q5XhHEQ7MgFg7qfVLKug&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=175.70343&pitch=0&thumbfov=100,https://lh4.googleusercontent.com/-KvRFF527cYw/AAAAAAAAAAI/AAAAAAAAAAA/1X5iYvyChsw/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de móveis em sapiranga,Sapiranga,Vôo Livre,State of Rio Grande do Sul,5,91,https://search.google.com/local/reviews?placeid=ChIJIVNoRdhzGZURdwUfAYb8jAs&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipMAhH04n5sExXC-DY5yEJKgIFPKrQF7IeRZRwH0=w1600-h1000-k-no,https://lh4.googleusercontent.com/-rRQUEu9Ni_0/AAAAAAAAAAI/AAAAAAAAAAA/Q7vLp_tL580/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
AG montador de móveis,Sapucaia do Sul,Lomba da Palmeira,State of Rio Grande do Sul,"4,9",37,https://search.google.com/local/reviews?placeid=ChIJ_dD-sP1vGZUR-sJSsNTay8k&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipNFjKj0Fafh9N8tDLrSFDKmUxFxEhgkk0Q_hkJC=w1600-h1000-k-no,https://lh5.googleusercontent.com/-WBay9vgQp5Q/AAAAAAAAAAI/AAAAAAAAAAA/nse6k_LD-w0/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis - Sapucaia do Sul e Região,Sapucaia do Sul,Centro,State of Rio Grande do Sul,5,20,https://search.google.com/local/reviews?placeid=ChIJ24NuC7AADGMR9hQ7sF8QL1o&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipMYx8_5tgGsw6ut6AqSbR6tmF4TeP-hw4Amg_ry=w1600-h1000-k-no,https://lh4.googleusercontent.com/-rTtXB7S2tZ8/AAAAAAAAAAI/AAAAAAAAAAA/tJlPEtENNDE/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
MENDONÇA MONTAGENS,Viamão,Estalagem,State of Rio Grande do Sul,5,2,https://search.google.com/local/reviews?placeid=ChIJHyxOWzyhGZUReCW4GNfdcgI&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoRqzvBBBHFc51dXo_E0CaOxTekQJqsdLeZuIvYUR09zTeZIUwwhBeQQp9GW4ChJtYmcXoVksARI_bnPcw16oK07BnRbedAlRcy7uJ6FjTF8-BZ5A1uSO8LpgY0-QC-LF9Y8aA2=w1600-h1000-k-no,https://lh5.googleusercontent.com/-G6WbYfKrxbs/AAAAAAAAAAI/AAAAAAAAAAA/1OfyOYllsK0/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Moveis (Montador Guilherme),Viamão,São Lucas,State of Rio Grande do Sul,5,657,https://search.google.com/local/reviews?placeid=ChIJqQzwh6ifGZUR4xD1Ak2iZCI&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwCcN3HHG5lXb3-zxVxj0QUOB3cbxCmt_DwLi6G6x34sjqE7jcqsOKMpQ040F-u6qSABF4ost02IMWtyhmwNLiPLN3pNUzptbwy2HpQ9rKFeP_LHSZSeVeftlG-UkB0BvYFPDu=w1600-h1000-k-no,https://lh5.googleusercontent.com/-Ov7pcSI4sjc/AAAAAAAAAAI/AAAAAAAAAAA/5scbwxLzOpo/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de móveis Viamão - Alex,Viamão,Sítio São José,State of Rio Grande do Sul,5,14,https://search.google.com/local/reviews?placeid=ChIJpVFjrQWjcS8RfqsYLF7dp_s&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9cgwUIKlsrSpioL01uU1NsqDBJ98M2fdN1yQghjqXVU43AZJFgTGu9-Ebo1Ly2nmjBbfrHpDBYnDMrlBJUNV2R-mv52nwJh4bSiX3UNh0a4oVFUQ5rdh9kw-MsM31Ih5pRRi8PMnAxNHd=w1600-h1000-k-no,https://lh6.googleusercontent.com/--gGTxDy8iK0/AAAAAAAAAAI/AAAAAAAAAAA/eubDiZapULE/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de móveis Vila Velha 997494624,Vila Velha,Coqueiral de Itaparica,State of Espírito Santo,5,172,https://search.google.com/local/reviews?placeid=ChIJLebFIJQVuAARyZv0IBl_NoY&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipO_VkkhRfL1dRgDuGMSN8KPf07iJMPIXGXBeiF-=w1600-h1000-k-no,https://lh6.googleusercontent.com/-Rcfx9Xhpj5w/AAAAAAAAAAI/AAAAAAAAAAA/bMTBb3e8R9M/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
