title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Montador de Móveis Profissional - são Gonçalo - Niterói,5,16,"Tv. Preciosa, 322",São Gonçalo,Rio de Janeiro,BR,https://bit.ly/3uC3ZWr,+55 21 95934-0274,Missão,Reformas,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Profissional%20-%20s%C3%A3o%20Gon%C3%A7alo%20-%20Niter%C3%B3i&query_place_id=ChIJzbq37N6lmQARjgTFawycbcg,Missão
Jlsmontagens,4,1,"R. José Maria Pinto Duarte, 19",São Gonçalo,Rio de Janeiro,BR,,+55 21 98696-9779,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jlsmontagens&query_place_id=ChIJYYEXUVF5mQARn5YaZEl4GKM,Moveleiro
Alexander Montador de Móveis São Gonçalo - Niterói -marica-itaborai-piratininga,5,119,"R. Guilherme Santos Andrade, 974",São Gonçalo,Rio de Janeiro,BR,https://site5.com.br/456/,+55 21 98309-4789,Marceneiro,Loja de móveis antigos,Loja de móveis,Faz-tudo,,,,,,,https://www.google.com/maps/search/?api=1&query=Alexander%20Montador%20de%20M%C3%B3veis%20S%C3%A3o%20Gon%C3%A7alo%20-%20Niter%C3%B3i%20-marica-itaborai-piratininga&query_place_id=ChIJh1B5JPvuYKQRg8ZTsMcZImg,Marceneiro
RR Montador de Móveis,5,124,"R. José Freire Teles, 11",São Gonçalo,Rio de Janeiro,BR,http://www.montadordemoveisrj.com/,+55 21 99451-4348,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=RR%20Montador%20de%20M%C3%B3veis&query_place_id=ChIJI-JoxIyRmQARVgLhr9ZvlrI,Marceneiro
Montador de moveis em duque de caxias RJ,4.9,19,"Av Pedro alvares cabral Lot 30, Quadra 10",Duque de Caxias,RJ,BR,,+55 21 99018-5212,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20em%20duque%20de%20caxias%20RJ&query_place_id=ChIJIxFZ6cENmQARF8l4vSpQu7c,
Montador de Moveis,4.9,54,"R. Silva Jardim, 813",Duque de Caxias,Rio de Janeiro,BR,https://wa.me/c/5521964425695,+55 21 96442-5695,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20Moveis&query_place_id=ChIJXXkK8hR7mQARXFEoAS8eTzk,
Montador de Móveis Duque de Caxias - RJ J.S.A,5,118,"R. Francisco Vassiman, 379",Duque de Caxias,Rio de Janeiro,BR,http://wa.link/vqam5f,+55 21 97888-4501,Oficina de conserto de móveis,Moveleiro,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Duque%20de%20Caxias%20-%20RJ%20J.S.A&query_place_id=ChIJH0oPmLTzeYcRAvc8xvlJML8,Oficina de conserto de móveis
Montador de Móveis Niterói são Gonçalo,5,128,"R. Paiva de Andrade, N°10",São Gonçalo,Rio de Janeiro,BR,http://bit.ly/DenisonMontador,+55 21 97648-3706,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Niter%C3%B3i%20s%C3%A3o%20Gon%C3%A7alo&query_place_id=ChIJiU07ugGbmQARzPzXrGKTtUQ,Marceneiro
Edilson montador de móveis,,,de carvalho - R. Motorista Areolino Carvalho,Teresina,Piauí,BR,,+55 86 98877-8094,Loja de móveis para escritório,Loja de móveis para cozinha,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Edilson%20montador%20de%20m%C3%B3veis&query_place_id=ChIJQxKH1DE5jgcRnUgIDbkBJU4,Loja de móveis para escritório
Mateus Montador de Móveis |Em Teresina Rápido e Barato,5,3,,,,,"https://wa.me/5586988532019?text=Ol%C3%A1,%20vim%20pelo%20Google%20e%20quero%20um%20or%C3%A7amento%20para%20montagem%20de%20m%C3%B3veis",+55 86 98853-2019,Marceneiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mateus%20Montador%20de%20M%C3%B3veis%20%7CEm%20Teresina%20R%C3%A1pido%20e%20Barato&query_place_id=ChIJOeCiozUy5mMRpDUSpRCK230,Marceneiro
Montador de móveis em geral Timon ou Teresina,1,1,,,,,,+55 86 98833-4486,Service establishment,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20em%20geral%20Timon%20ou%20Teresina&query_place_id=ChIJoaaCFnuP2UAR-eySbGwkhJQ,Service establishment
MONTADOR DE MÓVEIS/ Designer Planejados.,5,4,R. Des. João de Deus Lima,Teresina,Piauí,BR,,+55 86 99954-1176,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%2F%20Designer%20Planejados.&query_place_id=ChIJpRH3dq87jgcRJ7R3rWQCmvo,Marceneiro
Rubens Cardoso - Montador de Móveis em Teresina,4.9,109,,,,,https://wa.me/558688037566,+55 86 98803-7566,Marceneiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rubens%20Cardoso%20-%20Montador%20de%20M%C3%B3veis%20em%20Teresina&query_place_id=ChIJwczfPQwjj0gRGNicTw965HU,Marceneiro
Montador de móveis,5,2,"Qd C 01 Casa 06 conj Leonel Brisola - Vila Leonel Brisola, R. Monte Alegre",Teresina,PI,BR,,+55 86 99438-2721,Ajuda com serviços domésticos,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJMYShsRc_jgcR2lVbSf15T6A,Ajuda com serviços domésticos
Montagens D - Montador de móveis e Marcenaria Teresina,4.2,6,"Quadra Q1 casa, Res. Inglaterra, 08",Teresina,PI,BR,,+55 86 99947-8558,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montagens%20D%20-%20Montador%20de%20m%C3%B3veis%20e%20Marcenaria%20Teresina&query_place_id=ChIJUSB4R5E-jgcRffLCWEjVJ_o,Marceneiro
Equipe Cirurgião de móveis - marceneiro e montador de móveis em Teresina,4.9,226,"R. Raimundo Dorotéia, 3470",Teresina,Piauí,BR,,+55 86 98865-4343,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Equipe%20Cirurgi%C3%A3o%20de%20m%C3%B3veis%20-%20marceneiro%20e%20montador%20de%20m%C3%B3veis%20em%20Teresina&query_place_id=ChIJU2uy-60_jgcRW5uTywOt7w8,Marceneiro
Montador de Moveis em Duque de Caxias,5,82,Praça Sr. do Bonfim,Duque de Caxias,Rio de Janeiro,BR,https://wa.me/5521974922182,+55 21 97492-2182,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20Moveis%20em%20Duque%20de%20Caxias&query_place_id=ChIJ_1cfMI17mQARRyYhrXc8A6M,
AW MONTAGEM DE MÓVEIS,5,12,,,,,,+55 82 99958-2182,Moveleiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=AW%20MONTAGEM%20DE%20M%C3%93VEIS&query_place_id=ChIJc2xGOqsUygoRW_p2A8sAlsI,Moveleiro
Móveis Planejados Maceió,4.8,61,Da saudade,Maceió,Alagoas,BR,,+55 82 98744-8174,Loja de marcenaria,Marceneiro,,,,,,,,,https://www.google.com/maps/search/?api=1&query=M%C3%B3veis%20Planejados%20Macei%C3%B3&query_place_id=ChIJnbGz8K9FAQcR9TfF8uoTIGI,Loja de marcenaria
Davi - Montador de móveis em Maceió,5,1,"R. Benedito Calaça Loureiro, 247",Maceió,Alagoas,BR,https://dev-davi-montador.pantheonsite.io/,+55 82 99160-6419,Oficina de conserto de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Davi%20-%20Montador%20de%20m%C3%B3veis%20em%20Macei%C3%B3&query_place_id=ChIJwTxdZDNJAQcRIbQuj4mXuFU,Oficina de conserto de móveis
LF MONTADOR DE MÓVEIS,,,Av. Muniz Falcão,Maceió,Alagoas,BR,,+55 82 98773-0734,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=LF%20MONTADOR%20DE%20M%C3%93VEIS&query_place_id=ChIJKfInCgBJAQcRxiTTOlhmzMg,Moveleiro
Disk Montagem & etc,5,1,"R. do Sol, 785",Teresina,Piauí,BR,https://disk-montador.ueniweb.com/?utm_campaign=gmb,+55 86 99971-9954,Faz-tudo,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Disk%20Montagem%20%26%20etc&query_place_id=ChIJFzRKkoQ3jgcRT1_5SqpnkuY,Faz-tudo
Montagem de móveis ligou chegou,,,"R. São Francisco de Assis, 74",Maceió,Alagoas,BR,https://www.instagram.com/montador1218?igsh=MWtpaTNlaHJxM3dn,+55 82 98701-1191,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montagem%20de%20m%C3%B3veis%20ligou%20chegou&query_place_id=ChIJYahV9rtJAQcR5unZFj1sVt4,
Montador de móveis,,,R. Novo Horizonte,Maceió,Alagoas,BR,,+55 82 98866-2620,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJ8aMcCDxHAQcRGChakoHvW8Y,Moveleiro
Montador de móveis e marcenaria,5,27,"R. Três, 2",Maceió,Alagoas,BR,,+55 82 98855-8946,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20e%20marcenaria&query_place_id=ChIJv8RYbfRFAQcRpk-bcbhwV50,Marceneiro
CNSERVICOS MONTADOR DE MÓVEIS,4.7,15,R. Pão de Açúcar,Maceió,Alagoas,BR,https://instagram.com/cnservico?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D,+55 82 99336-9233,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=CNSERVICOS%20MONTADOR%20DE%20M%C3%93VEIS&query_place_id=ChIJdQKJMGpJAQcRVIs2eUx6IMQ,
Josué Montador de móveis,5,1,Rua Padre Cícero,Maceió,Alagoas,BR,https://wa.me/message/YGHGO2B4IEPEB1,+55 82 98855-1439,Carpintaria,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Josu%C3%A9%20Montador%20de%20m%C3%B3veis&query_place_id=ChIJqfNYhWc3AQcRpJP9_W6t25Y,Carpintaria
Montador de Móveis em Maceió Pablito,4.7,15,R. Nossa Sra. Aparecida,Maceió,Alagoas,BR,,+55 82 98717-1090,Moveleiro,Marceneiro,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Macei%C3%B3%20Pablito&query_place_id=ChIJtaV1k78LIaIR3bMezQy3g94,Moveleiro
Montador de Móveis em Maceió - Galvão,5,180,,,,,https://sites.google.com/view/montadordemoveisgalvao,+55 82 99622-9594,Marceneiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Macei%C3%B3%20-%20Galv%C3%A3o&query_place_id=ChIJx34MRj98bowRIIL_ZtOWEoE,Marceneiro
Julio LIma montador de moveis,4.8,47,,,,,,+55 82 98861-2142,Moveleiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Julio%20LIma%20montador%20de%20moveis&query_place_id=ChIJ1zhGODtJAQcRRg8u-TUtX9c,Moveleiro
Montador de moveis Rei da montagem,4.8,121,"R. São Sebastião, 13 A",Maceió,Alagoas,BR,https://systeme.io/funnel/share/328932392e27085a6a8798344d1998e08aaa131,+55 82 98712-2643,Marceneiro,Eletricista,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20Rei%20da%20montagem&query_place_id=ChIJ4_D3ySLm-04RHbYUr5BaBPg,Marceneiro
Montador de Móveis Maceió,4.5,17,"Av. Muniz Falcão, 112",Maceió,Alagoas,BR,,,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Macei%C3%B3&query_place_id=ChIJy88HPFhJAQcRGNDRqZweLf8,Loja de móveis
Central de Montagem de Móveis Maceió,,,"R. Pajuçara, 1625",Maceió,Alagoas,BR,http://centraldemontagens.com.br/,+55 82 98192-2395,Oficina de conserto de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Central%20de%20Montagem%20de%20M%C3%B3veis%20Macei%C3%B3&query_place_id=ChIJl4fDCPw3AQcRuO-cUCrrvwI,Oficina de conserto de móveis
MONTADOR DE MÓVEIS NO ABC (11)91046-2259,5,62,,,,,https://www.profissionalconectado.com.br/,+55 11 91046-2259,Oficina de conserto de móveis,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20NO%20ABC%20(11)91046-2259&query_place_id=ChIJUTMI8zVDzpQR6Tgx1UobU6Y,Oficina de conserto de móveis
MONTADOR DE MÓVEIS BAETA NEVES,5,1,R. Giacinto Tognato,São Bernardo do Campo,São Paulo,BR,,+55 11 99416-2331,Marceneiro,Loja de móveis,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20BAETA%20NEVES&query_place_id=ChIJDQRwOptBzpQRIJ2GFBOqUN0,Marceneiro
Montador de Móveis | Diadema | São Bernardo do Campo | SP,5,230,"R. Yamagata, 302",Diadema,São Paulo,BR,https://www.montadordemoveis10.com.br/,+55 11 93146-4169,Prestador de serviços públicos,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20%7C%20Diadema%20%7C%20S%C3%A3o%20Bernardo%20do%20Campo%20%7C%20SP&query_place_id=ChIJI5bnh8BFzpQRfaU_rAUVUyA,Prestador de serviços públicos
Montador Diniz,5,11,"R. João XXIII, 765 - Bloco B AP 34",São Bernardo do Campo,São Paulo,BR,https://www.instagram.com/francisconunes14031999/,+55 11 99146-1168,Marceneiro,Moveleiro,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20Diniz&query_place_id=ChIJE1E59apRh6sRAgJ0WyVLREg,Marceneiro
Montador de Móveis L.G.S,5,3,"Rua Izabel de Andrade Maia, 381",São Bernardo do Campo,São Paulo,BR,https://meucatalogo.app/lgsmontagens,+55 11 98580-2075,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20L.G.S&query_place_id=ChIJuQbKPwBBzpQRw8_cj4RrrVY,Marceneiro
Montador de Móveis em Maceió - David Bezerra,,,"R. Min. Lindolfo Color, 04 - Village 2",Maceió,Alagoas,BR,,+55 82 98727-4584,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Macei%C3%B3%20-%20David%20Bezerra&query_place_id=ChIJAZND-BY3AQcRKZagYN9gKhc,Marceneiro
Kinder Montador de Móveis em Santo André,5,30,,,,,,+55 11 91081-3551,Marceneiro,Service establishment,Serviço de mudança,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kinder%20Montador%20de%20M%C3%B3veis%20em%20Santo%20Andr%C3%A9&query_place_id=ChIJoYjg_6VrzpQR0Nixjj1Ybbk,Marceneiro
Montador de Móveis Guilherme Lombardi,5,87,Av. Dom Pedro I,Santo André,São Paulo,BR,,+55 11 98493-2415,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Guilherme%20Lombardi&query_place_id=ChIJuYvJU7przpQRbtuvBjKS-G4,Loja de móveis
Montador de Móveis Santo André e Região,5,1,"Av. Guaratinguetá, 1001",Santo André,São Paulo,BR,,+55 11 95338-7736,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Santo%20Andr%C3%A9%20e%20Regi%C3%A3o&query_place_id=ChIJL6YTqzdpzpQR3RAHEdI56xI,Moveleiro
Montador de Móveis,5,24,"R. Foz de Iguaçu, 397",Itaquaquecetuba,São Paulo,BR,,+55 11 95270-6435,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis&query_place_id=ChIJ1TYb3ZlpzpQRWX1uY6UTndg,Marceneiro
Montador de Móveis Eder Luis,5,50,R. Ipê Roxo,Santo André,São Paulo,BR,,+55 11 98395-1332,Moveleiro,Loja de móveis,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Eder%20Luis&query_place_id=ChIJN-kvBeRDzpQRQnbLrKLcpTM,Moveleiro
Montador de móveis ABC e Santo André,5,229,"R. Artur de Oliveira, 99 A",Santo André,São Paulo,BR,https://wa.me/5511974951494,+55 11 97495-1494,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20ABC%20e%20Santo%20Andr%C3%A9&query_place_id=ChIJd8BSua9gDWoR0-l5MsbXEyg,Moveleiro
Montador de Móveis Santo André e ABC,5,183,"Av. São Paulo, 1",Santo André,São Paulo,BR,,+55 11 96031-0855,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Santo%20Andr%C3%A9%20e%20ABC&query_place_id=ChIJDfJ7CfFpzpQRA5K28_PuFxI,Loja de móveis
"Montador de móveis em Santo André, São Bernardo RMG",5,785,"R. Rio Oiapoque, 72",Santo André,São Paulo,BR,,+55 11 95954-2382,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20em%20Santo%20Andr%C3%A9%2C%20S%C3%A3o%20Bernardo%20RMG&query_place_id=ChIJzRRZLzZrzpQRZCLZ5u0OZr0,Marceneiro
MONTADOR DE MÓVEIS EM SANTO ANDRÉ,4.8,32,"R. Natividade, 71",Santo André,São Paulo,BR,https://www.facebook.com/gigantemontador?mibextid=ZbWKwL,+55 11 94812-2153,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20EM%20SANTO%20ANDR%C3%89&query_place_id=ChIJ_YMEOhRCzpQRWYVP358T390,Marceneiro
Montador de móveis,1,1,"R. José Teixeira Guimarães, 22",São Bernardo do Campo,São Paulo,BR,,+55 11 96638-5310,Loja de camas,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJf0i0RhxBzpQRESoVx1_tqvY,Loja de camas
Clayton Silva Montador de Móveis em São Bernardo do Campo SP,5,25,"Av. Maria Servidei Demarchi, 2405",São Bernardo do Campo,São Paulo,BR,"https://wa.me/5511945063312?text=Obrigado%20por%20entrar%20em%20contato,Para%20facilitar%20o%20or%C3%A7amento%20deixe%20as%20Fotos%20dos%20M%C3%B3veis%20a%20ser%20montado%20e%20local%20para%20a%20realiza%C3%A7%C3%A3o%20do%20Servi%C3%A7o.",+55 11 95089-7342,Móveis de vime,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Clayton%20Silva%20Montador%20de%20M%C3%B3veis%20em%20S%C3%A3o%20Bernardo%20do%20Campo%20SP&query_place_id=ChIJn0_8ytH5Xm8RJWY4sghFXHo,Móveis de vime
KM MONTAGENS DE MÓVEIS,5,402,"R. Reginalda Campodônio Dias, 205",São Bernardo do Campo,São Paulo,BR,https://kmmontagensdemoveis.com.br/,+55 11 98636-4432,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KM%20MONTAGENS%20DE%20M%C3%93VEIS&query_place_id=ChIJQWj4pf9HzpQRfINuYTm96ik,Loja de móveis
Jefferson Gomes Montador de Móveis,5,304,,,,,,+55 11 97725-6781,Marceneiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jefferson%20Gomes%20Montador%20de%20M%C3%B3veis&query_place_id=ChIJK9eeJKqPaQIRa5GjtzTv5AM,Marceneiro
SOFT MONTAGEM DE MÓVEIS,4.9,228,"Rua Visconde do Rio Branco, SPRua Visconde do Rio Branco, 396",São Bernardo do Campo,SP,BR,https://www.facebook.com/softmontagens/,+55 11 98847-2966,Ajuda com serviços domésticos,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SOFT%20MONTAGEM%20DE%20M%C3%93VEIS&query_place_id=ChIJtQ5FsEhBzpQRUF1BeOJO_CA,Ajuda com serviços domésticos
Montador de móveis Elton Alves,4.8,39,"Rua Mário Missirolli, 1011",São Bernardo do Campo,São Paulo,BR,,+55 11 98727-5766,Móveis de vime,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20Elton%20Alves&query_place_id=ChIJXzhm_2pBzpQRB3l1Ah-rR1U,Móveis de vime
B&R - Montador De Móveis,4.8,49,"Rua renenacer, elli - R. Bom Jesus",Santo André,São Paulo,BR,,,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=B%26R%20-%20Montador%20De%20M%C3%B3veis&query_place_id=ChIJ3SZahd8G3aMR1eKTw3dYvqI,Marceneiro
DS MONTADOR DE MOVEIS EM GERAL,5,27,,,,,https://sites.google.com/view/moveisparatodos/,+55 11 96889-0881,Marceneiro,Service establishment,Moveleiro,,,,,,,,https://www.google.com/maps/search/?api=1&query=DS%20MONTADOR%20DE%20MOVEIS%20EM%20GERAL&query_place_id=ChIJ8a_l0cDAqYgR2bqJV_825T8,Marceneiro
Montador de Móveis AS,5,384,,São Bernardo do Campo,São Paulo,BR,https://montador-de-moveis.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,+55 11 99240-9933,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20AS&query_place_id=ChIJATn5SsBeVQIRShfLjhZBVII,Marceneiro
Kinder Montador de Móveis - São Bernardo do Campo,5,386,,,,,http://www.montadordemoveis.abc.br/,+55 11 96705-5036,Marceneiro,Service establishment,Serviço de mudança,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kinder%20Montador%20de%20M%C3%B3veis%20-%20S%C3%A3o%20Bernardo%20do%20Campo&query_place_id=ChIJAa3AyfVBzpQRUq-qOzhtwm8,Marceneiro
JM Lar Modulado Móveis planejados,5,34,"R. Orlanildo Silva dos Santos, 61",Aracaju,Sergipe,BR,,+55 79 99141-2184,Marceneiro,Loja de marcenaria,,,,,,,,,https://www.google.com/maps/search/?api=1&query=JM%20Lar%20Modulado%20M%C3%B3veis%20planejados&query_place_id=ChIJq9xTYFICoU0R3qehzDbJaYM,Marceneiro
Montador de móveis gs,5,1,"Avenida Carlos bulamarques, Número 395",Aracaju,SE,BR,,+55 79 98828-6578,Serviço curricular,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20gs&query_place_id=ChIJxT4y0cOzGgcRF7sbqqkAuyQ,Serviço curricular
"Montador de Móveis Aracaju , Rafael",,,"Condomínio Desembargador Pedro Barreto - R. B1, 150 - bloco 03 Ap 103",Aracaju,Sergipe,BR,,+55 79 99178-4816,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Aracaju%20%2C%20Rafael&query_place_id=ChIJyyX0Ny-xGgcRM0EvlTG-WAs,Moveleiro
